"fixture_id","updateAt","player_id","player_name","team_id","team_name","number","position","rating","minutes_played","captain","substitute","offsides","shots_total","shots_on","goals_total","goals_conceded","goals_assists","goals_saves","passes_total","passes_key","passes_accuracy","tackles_total","tackles_blocks","tackles_interceptions","duels_total","duels_won","dribbles_attempts","dribbles_success","dribbles_past","fouls_drawn","fouls_committed","cards_yellow","cards_red","penalty_won","penalty_commited","penalty_success","penalty_missed","penalty_saved"
327992,1597032064,10391,"Andres D'Alessandro",119,"Internacional",10,"M","6.3",12,"False","True",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327991,1596973803,9557,"Mailson",123,"Sport Recife",1,"G","5.9",95,"False","False",NA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327991,1596973803,9865,"Patric",123,"Sport Recife",2,"D","6.7",95,"False","False",NA,0,0,0,0,1,0,3,1,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327991,1596973803,9868,"Iago Maidana",123,"Sport Recife",6,"D","6.2",95,"False","False",NA,0,0,0,0,0,0,2,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327991,1596973803,9566,"Adryelson",123,"Sport Recife",34,"D","6.0",95,"False","False",NA,1,0,0,0,0,0,2,0,66,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0
327991,1596973803,9559,"Sander",123,"Sport Recife",12,"D","6.3",95,"False","False",NA,0,0,0,0,0,0,1,0,50,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
327991,1596973803,9960,"Willian Farias",123,"Sport Recife",8,"M","5.9",95,"True","False",NA,0,0,0,0,0,0,4,0,66,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
327991,1596973803,80153,"Betinho",123,"Sport Recife",18,"M","6.2",95,"False","False",NA,0,0,0,0,0,0,3,0,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
327991,1596973803,NA,"Rafael",123,"Sport Recife",41,"M","6.2",71,"False","False",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
327991,1596973803,9963,"Jonatan Gomez",123,"Sport Recife",16,"M","7.0",76,"False","False",NA,1,1,1,0,0,0,4,0,100,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0
327991,1596973803,10253,"Marquinhos",123,"Sport Recife",33,"M","6.5",72,"False","False",NA,0,0,0,0,0,0,2,0,100,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
327991,1596973803,9585,"Élton",123,"Sport Recife",19,"F","7.9",85,"False","False",1,2,2,2,0,0,0,2,0,66,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0
327991,1596973803,9575,"João Igor",123,"Sport Recife",28,"M","6.3",19,"False","True",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327991,1596973803,65837,"Lucas Mugni",123,"Sport Recife",10,"M","6.3",23,"False","True",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327991,1596973803,9587,"Hernane",123,"Sport Recife",9,"F","6.3",10,"False","True",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327991,1596973803,NA,"Maxwell",123,"Sport Recife",40,"F","6.3",24,"False","True",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327991,1596973803,9903,"Fernando Prass",129,"Ceara",1,"G","5.7",95,"False","False",NA,0,0,0,3,0,0,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327991,1596973803,10267,"Samuel Xavier",129,"Ceara",22,"D","5.9",95,"False","False",NA,0,0,0,0,0,0,9,0,90,0,0,0,2,1,1,1,0,0,0,1,0,0,0,0,0,0
327991,1596973803,10380,"Klaus",129,"Ceara",44,"D","6.0",95,"False","False",NA,0,0,0,0,0,0,9,0,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
327991,1596973803,10265,"Luiz Otávio",129,"Ceara",13,"D","6.0",95,"True","False",NA,0,0,0,0,0,0,7,0,77,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
