"fixture_id","team_id","startXI","player","number"
327985,127,TRUE,"Leo Pereira",4
327985,127,TRUE,"Filipe Luis",16
327985,127,TRUE,"Gerson",8
327985,127,TRUE,"Willian Arão",5
327985,127,TRUE,"Everton Ribeiro",7
327985,127,TRUE,"Giorgian De Arrascaeta",14
327985,127,TRUE,"Bruno Henrique",27
327985,127,TRUE,"Gabriel Barbosa",9
327985,127,FALSE,"Gabriel Batista",22
327985,127,FALSE,"César",37
327985,127,FALSE,"Thuler",26
327985,127,FALSE,"Joao Lucas",30
327985,127,FALSE,"Gustavo Henrique",2
327985,127,FALSE,"Renê",6
327985,127,FALSE,"Vitinho",11
327985,127,FALSE,"Michael",19
327985,127,FALSE,"Thiago Maia",33
327985,127,FALSE,"Pedro Rocha",32
327985,127,FALSE,"Pedro",21
327985,1062,TRUE,"Rafael",32
327985,1062,TRUE,"Igor Rabello",16
327985,1062,TRUE,"Gabriel",30
327985,1062,TRUE,"Junior Alonso",3
327985,1062,TRUE,"Guga",2
327985,1062,TRUE,"Alan Franco",21
327985,1062,TRUE,"Nathan",23
327985,1062,TRUE,"Allan",29
327985,1062,TRUE,"Guilherme Arana",13
327985,1062,TRUE,"Marquinhos",50
327985,1062,TRUE,"Jefferson Savarino",70
327985,1062,FALSE,"Matheus Mendes",34
327985,1062,FALSE,"Victor",1
327985,1062,FALSE,"Mariano",25
327985,1062,FALSE,"Bueno",40
327985,1062,FALSE,"Fábio Santos",6
327985,1062,FALSE,"Réver",4
327985,1062,FALSE,"Jair",8
327985,1062,FALSE,"Keno",11
327985,1062,FALSE,"Hyoran",20
327985,1062,FALSE,"Calebe",26
327985,1062,FALSE,"Léo Sena",27
327985,1062,FALSE,"Marrony",38
327988,128,TRUE,"Vladimir",1
327988,128,TRUE,"Pará",4
327988,128,TRUE,"Lucas Veríssimo",28
327988,128,TRUE,"Luan Peres",14
327988,128,TRUE,"Felipe Jonatan",3
327988,128,TRUE,"Diego Pituca",21
327988,128,TRUE,"Alison",5
327988,128,TRUE,"Carlos Sánchez",7
327988,128,TRUE,"Marinho",11
327988,128,TRUE,"Kaio Jorge",19
327988,128,TRUE,"Yeferson Soteldo",10
327988,128,FALSE,"João Paulo",34
327988,128,FALSE,"Madson",13
327988,128,FALSE,"Luiz Felipe",2
327988,128,FALSE,"Alex",44
327988,128,FALSE,"Jean Mota",41
327988,128,FALSE,"Jobson",8
327988,128,FALSE,"Arthur Gomes",23
327988,128,FALSE,"Anderson Santos",40
327988,128,FALSE,"Sandry",38
327988,128,FALSE,"Tailson",39
327988,128,FALSE,"Fernando Uribe",20
327988,128,FALSE,"Marcos Leonardo",36
327988,794,TRUE,"Cleiton",40
327988,794,TRUE,"Aderlan Silva",13
327988,794,TRUE,"Léo Ortiz",3
327988,794,TRUE,"Fabrício Bruno",14
327988,794,TRUE,"Edimar",6
327988,794,TRUE,"Matheus Jesus",11
327988,794,TRUE,"Ricardo Ryller",25
327988,794,TRUE,"Artur",7
327988,794,TRUE,"Weverson",34
327988,794,TRUE,"Morato",38
327988,794,TRUE,"Alerrandro",27
327988,794,FALSE,"Júlio Césár",1
327988,794,FALSE,"Leonardo Realpe",2
327988,794,FALSE,"Ligger",4
327988,794,FALSE,"Weverton",17
327988,794,FALSE,"Luan Cândido",36
327988,794,FALSE,"Claudinho",10
327988,794,FALSE,"Barreto",5
327988,794,FALSE,"Bruno Tubarão",20
327988,794,FALSE,"Robinho",16
327988,794,FALSE,"Ytalo",15
327990,130,TRUE,"Vanderlei",27
327990,130,TRUE,"Luis Orejuela",17
327990,130,TRUE,"Pedro Geromel",3
327990,130,TRUE,"Walter Kannemann",4
327990,130,TRUE,"Bruno Cortêz",12
327990,130,TRUE,"Lucas Silva",16
327990,130,TRUE,"Maicon",8
327990,130,TRUE,"Pepê",25
327990,130,TRUE,"Isaque",46
327990,130,TRUE,"Alisson",23
327990,130,TRUE,"Diego Souza",29
327990,130,FALSE,"Paulo Victor",1
327990,130,FALSE,"Ruan",44
327990,130,FALSE,"Tonhão Rodrigues",38
327990,130,FALSE,"David Braz",14
327990,130,FALSE,"Thiago Neves",10
327990,130,FALSE,"Rildo",37
327990,130,FALSE,"Patrick",30
327990,130,FALSE,"Thaciano",20
327990,130,FALSE,"Darlan",15
327990,130,FALSE,"Guilherme Azevedo",39
327990,130,FALSE,"Fabrício Santos",45
327990,130,FALSE,"Luciano",9
327990,124,TRUE,"Muriel",27
327990,124,TRUE,"Igor Julião",21
327990,124,TRUE,"Lucas Claro",4
327990,124,TRUE,"Nino",33
327990,124,TRUE,"Egídio",6
327990,124,TRUE,"Yago Felipe",20
327990,124,TRUE,"Yuri",5
327990,124,TRUE,"Douglas Moreira",22
327990,124,TRUE,"Nenê",77
327990,124,TRUE,"Evanilson",99
327990,124,TRUE,"Marcos Paulo",11
327990,124,FALSE,"Marcos Felipe",1
327990,124,FALSE,"Orinho",23
327990,124,FALSE,"Miguel Silveira",30
327990,124,FALSE,"Caio Paulista",70
327990,124,FALSE,"Caio",29
327990,124,FALSE,"André",35
327990,124,FALSE,"Wellington Silva",17
327990,124,FALSE,"Luiz Henrique",34
327990,124,FALSE,"Fernando Pacheco",16
327990,124,FALSE,"Lucas Barcellos",31
327990,124,FALSE,"Michel Araújo",15
327990,124,FALSE,"Fred",9
328012,147,TRUE,"Wilson",84
328012,147,TRUE,"Jonathan",2
328012,147,TRUE,"Rhodolfo",4
328012,147,TRUE,"Sabino",35
328012,147,TRUE,"William Matheus",6
328012,147,TRUE,"Matheus Galdezani",20
328012,147,TRUE,"Renê Júnior",8
328012,147,TRUE,"Nathan Silva",5
328012,147,TRUE,"Yan Sasse",39
328012,147,TRUE,"Robson",30
328012,147,TRUE,"Igor Jesus",19
328012,147,FALSE,"Arthur",33
328012,147,FALSE,"Rodolfo",3
328012,147,FALSE,"Kazu",88
328012,147,FALSE,"Rafael Lima",43
328012,147,FALSE,"Natanael",16
328012,147,FALSE,"Henrique Vermudt",15
328012,147,FALSE,"Ruy",89
328012,147,FALSE,"Matheus Bueno",57
328012,147,FALSE,"Neílton",11
328012,147,FALSE,"Luiz Henrique",28
