"fixture_id","elapsed","team_id","player","type","detail"
328010,79,131,"E. Lourenco","subst","Ramiro"
328010,80,130,"Isaque","subst","Jean"
328010,81,130,"Henrique Matheus","Card","Yellow Card"
328010,84,130,"L. Silva","subst","Maicon"
328010,86,130,"Thaciano","subst","D. Souza"
328010,90,131,"Camacho","subst","Gabriel"
328010,90,131,"Leo Natel","subst","V. Cantillo"
328010,90,131,"Leo Natel","Card","Yellow Card"
328007,18,121,"G. Gomez","Goal","Normal Goal"
328007,40,151,"R. Vaz","Goal","Normal Goal"
328007,41,151,"J. Pintado","Card","Yellow Card"
328007,59,121,"Lima Lucas","subst","Ramires"
328007,59,121,"Roni","subst","Willian"
328007,59,121,"D. Barbosa Mendanha","subst","M. Vina"
328007,63,151,"L. Gustavo","Card","Yellow Card"
328007,64,151,"G. Rodrigues","subst","J. Pintado"
328007,70,121,"W. Ribeiro Silva","subst","Ze Rafael"
328007,70,151,"Zeca","subst","Marcinho"
328007,86,151,"D. Bessa","Card","Yellow Card"
328007,90,121,"Lima Lucas","Card","Yellow Card"
328007,90,151,"D. De Pauli","subst","V. Andrade"
328009,3,129,"W. Oliveira","Card","Yellow Card"
328009,8,1062,"Hyoran","Card","Yellow Card"
328009,26,129,"L. Otavio","Card","Yellow Card"
328009,46,1062,"G. Arana","subst","Jair"
328009,54,129,"Charles","subst","W. Oliveira"
328009,56,1062,"Guga","Card","Yellow Card"
328009,57,1062,"Marquinhos","subst","J. Savarino"
328009,65,129,"Cleber","subst","R. Sobis"
328009,65,129,"V. Jacare","subst","V. Lima"
328009,72,129,"V.","Card","Yellow Card"
328009,73,1062,"Marrony","Goal","Penalty"
328009,76,129,"Fabinho","Card","Yellow Card"
328009,79,129,"W. Wescley","subst","Fernando Sobral"
328009,83,1062,"L. Sena","subst","Keno"
328009,90,1062,"F. Santos","subst","Hyoran"
328009,90,1062,"Marrony","Goal","Normal Goal"
328006,27,126,"I. Gomes","Card","Yellow Card"
328006,36,126,"Liziero","Card","Yellow Card"
328006,38,126,"Pablo","Card","Yellow Card"
328006,47,133,"Gomes Bruno","Card","Yellow Card"
328006,62,133,"G. Cano","Goal","Normal Goal"
328006,66,133,"C. H. Nascimento Ferreira","Card","Yellow Card"
328006,66,126,"G. Rodrigas da Silva","subst","Liziero"
